"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1638","each metric card should show a trend direction indicator","webkit","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","19","PUT /api/users/:id updates user role","firefox","2026-08-25","passed","2026-08-25","Users API","","",""
"","994","should generate report and show in list","firefox","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","734","should load users table with data @smoke","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","506","should navigate to users page","chromium","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","1374","traffic chart canvas should be visible","webkit","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","1105","should delete a user after confirmation","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","46","POST /api/auth/login returns 401 for invalid password @smoke","firefox","2026-08-25","passed","2026-08-25","Auth API","","",""
"","1513","each metric card should show a numeric value","webkit","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","848","admin should see delete buttons on user rows","firefox","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","482","should show error when password field is empty","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","743","should navigate to reports page","firefox","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","21","GET /api/users returns paginated list @smoke","firefox","2026-08-25","passed","2026-08-25","Users API","","",""
"","15","should return exactly 4 metric cards","firefox","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","40","each metric card should have required shape","webkit","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","501","should delete a user after confirmation","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","25","should return exactly 4 metric cards","webkit","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","788","should show pagination controls","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","684","download CSV button should be present on reports","firefox","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","30","PUT /api/users/:id updates user role","chromium","2026-08-25","passed","2026-08-25","Users API","","",""
"","642","should have valid token in localStorage after login","firefox","2026-08-25","passed","2026-08-25","Session Persistence","","",""
"","368","report list should have at least one report","chromium","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","670","should log in with valid editor credentials","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","18","POST /api/users creates a new user","webkit","2026-08-25","passed","2026-08-25","Users API","","",""
"","908","GET /api/metrics returns all expected fields @smoke","firefox","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","901","each metric card should show a numeric value","firefox","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","665","notification bell should be visible in header","firefox","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","793","analytics nav item should be active on analytics page","firefox","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","1392","should display correctly at 1280px viewport","webkit","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","11","GET /api/users/:id returns 404 for non-existent user","webkit","2026-08-25","passed","2026-08-25","Users API","","",""
"","1068","should close modal on cancel","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","524","activity chart canvas should render with data","chromium","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","30","POST /api/auth/login returns 400 when password is missing","chromium","2026-08-25","passed","2026-08-25","Auth API","","",""
"","32","GET /api/metrics returns all expected fields @smoke","webkit","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","1427","should open wizard on button click @smoke","webkit","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","722","should open wizard on button click @smoke","firefox","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","16","GET /api/users supports search query","webkit","2026-08-25","passed","2026-08-25","Users API","","",""
"","673","user avatar should show initials in header","firefox","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","1102","should redirect to login when accessing protected route after logout","chromium","2026-08-25","passed","2026-08-25","Logout","","",""
"","752","admin should see add user button","firefox","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","35","should return exactly 4 metric cards","chromium","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","689","should filter users by role","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","355","download CSV button should be present on reports","chromium","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","676","activity chart canvas should render with data","firefox","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","1312","should filter users by search query","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","506","should handle very long input without crashing","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","1192","should show error message when email is not registered","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","1237","activity items should show timestamps","webkit","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","55","GET /api/metrics returns all expected fields @smoke","chromium","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","907","POST /api/auth/logout invalidates the token","firefox","2026-08-25","passed","2026-08-25","Auth API","","",""
"","1018","should navigate to users page","firefox","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","1315","activity feed should display items","webkit","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","895","should open delete confirmation dialog","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","1547","should not advance from step 1 without filling required fields","webkit","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","17","request with invalid token returns 403","chromium","2026-08-25","passed","2026-08-25","Auth API","","",""
"","828","should persist session across page reload","firefox","2026-08-25","passed","2026-08-25","Session Persistence","","",""
"","523","should generate report and show in list","chromium","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","2940","all roles should be able to view the dashboard","webkit","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","634","should delete a user after confirmation","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","805","should sort users by name ascending","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","680","each report should show status badge","firefox","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","667","should show error message when password is incorrect @smoke","chromium","2026-08-25","passed","2026-08-25","Login","","",""
"","612","should close modal on cancel","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","488","should handle very long input without crashing","chromium","2026-08-25","passed","2026-08-25","Login","","",""
"","1781","should redirect to dashboard if already authenticated","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","2118","should clear localStorage token on logout","webkit","2026-08-25","passed","2026-08-25","Logout","","",""
"","494","should have user profile in localStorage after login","chromium","2026-08-25","passed","2026-08-25","Session Persistence","","",""
"","12","request without token returns 401","firefox","2026-08-25","passed","2026-08-25","Auth API","","",""
"","10","GET /api/metrics returns 401 without token","firefox","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","372","should show validation errors when submitting empty form","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","6303","should log out and redirect to login page @smoke","webkit","2026-08-25","passed","2026-08-25","Logout","","",""
"","454","should open wizard on button click @smoke","chromium","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","617","each metric card should show a numeric value","chromium","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","23","POST /api/auth/login returns 400 when email is missing","chromium","2026-08-25","passed","2026-08-25","Auth API","","",""
"","551","should show error when email field is empty","chromium","2026-08-25","passed","2026-08-25","Login","","",""
"","707","should display correctly at 768px viewport","firefox","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","455","analytics nav item should be active on analytics page","chromium","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","22","POST /api/auth/login returns 400 when email is missing","webkit","2026-08-25","passed","2026-08-25","Auth API","","",""
"","637","report list should have at least one report","firefox","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","511","activity feed should display items","chromium","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","1711","should navigate to reports page","webkit","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","1407","should show undo toast after deleting a report @smoke","webkit","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","623","should cancel delete dialog without deleting","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","957","should display correctly at 1280px viewport","firefox","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","878","should clear localStorage token on logout","firefox","2026-08-25","passed","2026-08-25","Logout","","",""
"","1383","should log in with valid admin credentials @smoke","chromium","2026-08-25","passed","2026-08-25","Login","","",""
